Seed,Precision,Recall,F1,Precision_level3,Recall_level3,F1_level3,Precision_level2,Recall_level2,F1_level2,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.10512483574244406,0.2811432325886991,0.14991467139955972,0.20127025843188787,0.5032142335690298,0.2790595081659472,0.31165133596145583,0.6351886615355735,0.3956980163944684,0.5759964958388083,0.7647775746496039,0.6544011544011542,0.43972602739726013,0.6839543833302046,0.8263341168277183,0.7755411255411256,0.6278538812785388,"[547, 462, 365, 236]"
123,0.10424879544459041,0.27427361658636296,0.14698306511709935,0.18199737187910595,0.4847944434015394,0.2590200863525437,0.2547087166009647,0.5986139791001814,0.343029222201364,0.4949627682873407,0.7470293933708567,0.7099322799097065,0.4815837937384898,0.6709311056880046,0.8127579737335835,0.7972159518434914,0.6197053406998159,"[533, 443, 362, 229]"
47899,0.10162067455102933,0.26569520055065393,0.1427635658253267,0.1946999561979851,0.48457751913730884,0.26912327707334294,0.2971966710468698,0.6233058006382579,0.3810431136975157,0.5567236092860272,0.7691102756892232,0.6741405082212257,0.4294171220400726,0.66251486139791,0.8244047619047619,0.7954409566517191,0.6083788706739527,"[532, 446, 366, 228]"
2025,0.1011826544021025,0.2685298166572805,0.14351531079520571,0.1874726237406918,0.4706338777298042,0.2605375132970402,0.3004818221638209,0.6037888742882173,0.3797488684479484,0.5431449846692944,0.7731660231660229,0.6347283406754772,0.4539106145251396,0.6486390088229773,0.8565958815958815,0.768538913362702,0.6201117318435754,"[518, 454, 358, 228]"
1,0.10731493648707828,0.2847678493210688,0.15215909801980762,0.19272886552781424,0.4869428279415138,0.2681730008931061,0.3068331143232605,0.6186033414679931,0.3873912771416057,0.5575996495838806,0.7688766114180479,0.6525362318840578,0.45462962962962955,0.6792785182404104,0.8307243707796194,0.7619202898550725,0.65,"[543, 460, 360, 239]"
20,0.10775295663600515,0.28610537513297046,0.15303798260434265,0.1979851073149366,0.5015695722003212,0.276098700540225,0.30048182216382124,0.6244634253175646,0.3848382454164316,0.5554095488392465,0.770486752926679,0.6630747126436786,0.47043010752688175,0.6789317522891768,0.8372106328668251,0.7760416666666666,0.6456093189964158,"[541, 464, 372, 242]"
99,0.12264564169951783,0.3238554116346495,0.17379700894812594,0.2233902759526945,0.5597652420582776,0.3102633240609588,0.31844064826982216,0.6847897503285151,0.41348400467979995,0.5698642137538323,0.8016988869361453,0.6958661417322833,0.4936658749010293,0.7097840143503744,0.8832747510251904,0.8110236220472442,0.6334125098970704,"[569, 508, 421, 271]"
1020,0.1121331581252736,0.2944767745030557,0.1579992718626096,0.1977660972404732,0.4993476628496339,0.27530846289059174,0.2950065703022354,0.6380639509417433,0.38476107043781155,0.559789750328515,0.78259532595326,0.6508104298801973,0.4543010752688171,0.6834689109984775,0.8542742927429274,0.7639182522903453,0.6532258064516129,"[542, 473, 372, 248]"
345,0.10293473499780986,0.27385384727697476,0.1461622039808636,0.19579500657030227,0.49049652712596203,0.2711879447753298,0.2744196233026733,0.6108409986859396,0.3625732640844336,0.5549715286903197,0.7509541984732825,0.6781226903178124,0.45146520146520136,0.6545220365851114,0.8498727735368957,0.7902439024390243,0.6158424908424908,"[524, 451, 364, 231]"
78,0.10906701708278571,0.2850671630895021,0.15333862370656065,0.20893561103810812,0.5117342469182155,0.2871108304748255,0.312308366184846,0.6363337713534823,0.3970016477900842,0.565484012264564,0.7838589981447124,0.6712668082094833,0.44871794871794846,0.6736629956406566,0.8582030214683276,0.781104033970276,0.6246684350132626,"[539, 471, 377, 242]"
